ts:2026-02-11T09:30:26+01:00 t:10.87 h:91 b:2.380
ts:2026-02-11T10:00:33+01:00 t:10.84 h:91 b:2.380
ts:2026-02-11T10:30:30+01:00 t:10.85 h:91 b:2.416
ts:2026-02-11T11:00:32+01:00 t:10.84 h:91 b:2.416
ts:2026-02-11T11:30:32+01:00 t:10.85 h:91 b:2.380
ts:2026-02-11T12:00:31+01:00 t:10.87 h:91 b:2.380
ts:2026-02-11T12:30:32+01:00 t:10.90 h:91 b:2.383
ts:2026-02-11T13:00:33+01:00 t:10.94 h:91 b:2.393
ts:2026-02-11T13:30:27+01:00 t:10.93 h:91 b:2.393
ts:2026-02-11T14:00:28+01:00 t:10.99 h:91 b:2.416
ts:2026-02-11T14:30:31+01:00 t:10.95 h:91 b:2.416
ts:2026-02-11T15:00:29+01:00 t:10.97 h:91 b:2.377
ts:2026-02-11T15:30:26+01:00 t:10.93 h:91 b:2.377
ts:2026-02-11T16:00:27+01:00 t:10.89 h:91 b:2.377
